Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
350,0.003340703,0.026794265,0.007257677,0.000452643,0.004001126,0.05219152,0.075349831,0.004552035,0.100722382,0.008709552
351,0.003372973,0.026619203,0.007307601,0.000456127,0.004033294,0.052045609,0.075809371,0.004610994,0.100382296,0.008798735
352,0.003405308,0.026525361,0.007357593,0.000459651,0.004065729,0.051898738,0.076265394,0.004670733,0.100043519,0.008888765
353,0.003437685,0.026429576,0.007406802,0.000463195,0.004098377,0.051746938,0.076713105,0.004731213,0.099698729,0.00897954
354,0.003470131,0.026310554,0.007454965,0.000466754,0.004131218,0.051588992,0.077150879,0.004792427,0.099345711,0.009071029
355,0.003502648,0.026174558,0.007502142,0.000470332,0.004164254,0.051424898,0.077578955,0.004854389,0.098984487,0.009163229
356,0.003535224,0.026034279,0.007548516,0.000473933,0.00419749,0.051254961,0.077998317,0.004917117,0.098615621,0.009256148
357,0.003567853,0.025900818,0.007594245,0.000477567,0.004230932,0.051079311,0.078409609,0.004980632,0.098239348,0.009349788
358,0.003600518,0.025772076,0.007639373,0.000481228,0.004264575,0.050897921,0.078813177,0.005044944,0.09785563,0.009444145
359,0.003633233,0.025646876,0.007683871,0.000484924,0.004298417,0.050710396,0.07920838,0.005110063,0.097463754,0.009539205
360,0.003665993,0.02552384,0.007727649,0.00048867,0.004332456,0.050516153,0.079593973,0.005175996,0.097062672,0.009634949
361,0.003698752,0.025396884,0.007770578,0.00049247,0.004366684,0.050314679,0.079968817,0.005242746,0.0966515,0.009731356
362,0.003731543,0.025254588,0.00781252,0.000496318,0.004401087,0.050105717,0.080332356,0.005310313,0.096229852,0.009828404
363,0.003764392,0.025085674,0.007853366,0.000500198,0.004435652,0.049889275,0.080684596,0.005378696,0.095797843,0.009926074
364,0.003797264,0.024887683,0.007893077,0.000504102,0.004470369,0.049665576,0.081025748,0.005447898,0.095355962,0.010024357
365,0.003830152,0.024670702,0.007931687,0.000508039,0.00450524,0.049434953,0.081355998,0.005517933,0.094904858,0.010123246
366,0.00386305,0.02444253,0.00796928,0.000512006,0.004540265,0.049198024,0.081676354,0.005588811,0.0944457,0.010222745
367,0.003895989,0.024217395,0.008005997,0.000516006,0.004575446,0.048955474,0.081987933,0.005660551,0.093979752,0.010322857
368,0.00392894,0.024004803,0.008041986,0.000520034,0.004610785,0.04870818,0.082292259,0.005733167,0.093508603,0.010423594
369,0.003961971,0.023820218,0.008077427,0.000524097,0.004646292,0.048456956,0.082590592,0.00580668,0.093033706,0.010524969
370,0.00399502,0.023680774,0.008112502,0.00052821,0.004681978,0.048202523,0.082883937,0.005881112,0.092556315,0.010626994
371,0.00402812,0.023598064,0.008147352,0.00053238,0.004717851,0.047945601,0.083173181,0.005956484,0.092077673,0.010729684
372,0.004061244,0.023573645,0.008182021,0.000536603,0.004753902,0.047686177,0.083458996,0.006032805,0.091597735,0.010833024
373,0.004094282,0.023605299,0.008216543,0.000540866,0.004790154,0.047426269,0.083741972,0.006110086,0.091120028,0.010937074
374,0.004127347,0.023689303,0.00825084,0.000545163,0.004826584,0.04716495,0.084021974,0.006188332,0.090642873,0.011041789
375,0.004160694,0.023821912,0.008284773,0.000549499,0.004863152,0.046899919,0.084297925,0.006267545,0.090162165,0.011147076
376,0.004194088,0.023991609,0.008318191,0.00055387,0.004899841,0.046630458,0.08456875,0.006347725,0.089676592,0.011252893
377,0.004227425,0.024195644,0.008351042,0.000558283,0.004936675,0.046358319,0.084833656,0.006428879,0.089189181,0.011359294
378,0.0042608,0.024430687,0.008383302,0.000562731,0.004973694,0.04608629,0.08509252,0.006511015,0.088704788,0.011466368
379,0.004294212,0.024699892,0.008414897,0.00056722,0.005010909,0.045815319,0.085344888,0.006594138,0.088225024,0.01157414
380,0.004327659,0.025005562,0.008445682,0.000571757,0.005048289,0.045543607,0.085589771,0.006678247,0.087746653,0.011682536
381,0.004361219,0.02534843,0.008475602,0.00057635,0.005085845,0.045271721,0.085826563,0.006763349,0.087270607,0.011791567
382,0.004394815,0.025723675,0.008504632,0.000580994,0.005123568,0.044999596,0.086055167,0.006849449,0.086796685,0.011901222
383,0.00442835,0.026117172,0.00853273,0.00058568,0.005161453,0.0447272,0.086275388,0.006936553,0.086324752,0.01201149
384,0.004461932,0.02651268,0.008559789,0.000590404,0.00519949,0.044454383,0.086486529,0.007024661,0.085854473,0.012122353
385,0.004495578,0.026900542,0.008585682,0.000595171,0.005237674,0.044180989,0.086687741,0.007113773,0.085385524,0.012233791
386,0.00452929,0.027264867,0.008610254,0.000599974,0.005275991,0.04390697,0.086878574,0.007203882,0.084917801,0.012345782
387,0.004563247,0.027584283,0.008633348,0.000604802,0.005314426,0.043632286,0.087058805,0.007294982,0.084451221,0.012458305
388,0.004597211,0.027850582,0.008654852,0.000609661,0.00535297,0.043356887,0.087228075,0.007387072,0.083985683,0.012571336
389,0.004631193,0.028051713,0.008674734,0.000614535,0.005391612,0.043081078,0.087387304,0.007480152,0.083521708,0.012684868
390,0.004665184,0.028182424,0.008693039,0.000619396,0.005430345,0.042805521,0.087538258,0.00757423,0.083060425,0.012798911
391,0.004699267,0.028255868,0.008709907,0.000624229,0.005469173,0.042531017,0.087682677,0.007669321,0.082603165,0.012913491
